,Predicted Close
1025,1081.3123803040287
1026,1081.3123803040287
1027,1081.3123803040287
1028,1081.3123803040287
1029,1081.3123803040287
1030,1081.3123803040287
1031,1081.3123803040287
1032,1081.3123803040287
1033,1081.3123803040287
1034,1081.3123803040287
1035,1081.3123803040287
1036,1081.3123803040287
1037,1081.3123803040287
1038,1081.3123803040287
1039,1081.3123803040287
1040,1081.3123803040287
1041,1081.3123803040287
1042,1081.3123803040287
1043,1081.3123803040287
1044,1081.3123803040287
1045,1081.3123803040287
1046,1081.3123803040287
1047,1081.3123803040287
1048,1081.3123803040287
1049,1081.3123803040287
1050,1081.3123803040287
1051,1081.3123803040287
1052,1081.3123803040287
1053,1081.3123803040287
1054,1081.3123803040287
1055,1081.3123803040287
1056,1081.3123803040287
1057,1081.3123803040287
1058,1081.3123803040287
1059,1081.3123803040287
1060,1081.3123803040287
1061,1081.3123803040287
1062,1081.3123803040287
1063,1081.3123803040287
1064,1081.3123803040287
1065,1081.3123803040287
1066,1081.3123803040287
1067,1081.3123803040287
1068,1081.3123803040287
1069,1081.3123803040287
1070,1081.3123803040287
1071,1081.3123803040287
1072,1081.3123803040287
1073,1081.3123803040287
1074,1081.3123803040287
1075,1081.3123803040287
1076,1081.3123803040287
1077,1081.3123803040287
1078,1081.3123803040287
1079,1081.3123803040287
1080,1081.3123803040287
1081,1081.3123803040287
1082,1081.3123803040287
1083,1081.3123803040287
1084,1081.3123803040287
1085,1081.3123803040287
1086,1081.3123803040287
1087,1081.3123803040287
1088,1081.3123803040287
1089,1081.3123803040287
1090,1081.3123803040287
1091,1081.3123803040287
1092,1081.3123803040287
1093,1081.3123803040287
1094,1081.3123803040287
1095,1081.3123803040287
1096,1081.3123803040287
1097,1081.3123803040287
1098,1081.3123803040287
1099,1081.3123803040287
1100,1081.3123803040287
1101,1081.3123803040287
1102,1081.3123803040287
1103,1081.3123803040287
1104,1081.3123803040287
1105,1081.3123803040287
1106,1081.3123803040287
1107,1081.3123803040287
1108,1081.3123803040287
1109,1081.3123803040287
1110,1081.3123803040287
1111,1081.3123803040287
1112,1081.3123803040287
1113,1081.3123803040287
1114,1081.3123803040287
1115,1081.3123803040287
1116,1081.3123803040287
1117,1081.3123803040287
1118,1081.3123803040287
1119,1081.3123803040287
1120,1081.3123803040287
1121,1081.3123803040287
1122,1081.3123803040287
1123,1081.3123803040287
1124,1081.3123803040287
1125,1081.3123803040287
1126,1081.3123803040287
1127,1081.3123803040287
1128,1081.3123803040287
1129,1081.3123803040287
1130,1081.3123803040287
1131,1081.3123803040287
1132,1081.3123803040287
1133,1081.3123803040287
1134,1081.3123803040287
1135,1081.3123803040287
1136,1081.3123803040287
1137,1081.3123803040287
1138,1081.3123803040287
1139,1081.3123803040287
1140,1081.3123803040287
1141,1081.3123803040287
1142,1081.3123803040287
1143,1081.3123803040287
1144,1081.3123803040287
1145,1081.3123803040287
1146,1081.3123803040287
1147,1081.3123803040287
1148,1081.3123803040287
1149,1081.3123803040287
1150,1081.3123803040287
1151,1081.3123803040287
1152,1081.3123803040287
1153,1081.3123803040287
1154,1081.3123803040287
1155,1081.3123803040287
1156,1081.3123803040287
1157,1081.3123803040287
1158,1081.3123803040287
1159,1081.3123803040287
1160,1081.3123803040287
1161,1081.3123803040287
1162,1081.3123803040287
1163,1081.3123803040287
1164,1081.3123803040287
1165,1081.3123803040287
1166,1081.3123803040287
1167,1081.3123803040287
1168,1081.3123803040287
1169,1081.3123803040287
1170,1081.3123803040287
1171,1081.3123803040287
1172,1081.3123803040287
1173,1081.3123803040287
1174,1081.3123803040287
1175,1081.3123803040287
1176,1081.3123803040287
1177,1081.3123803040287
1178,1081.3123803040287
1179,1081.3123803040287
1180,1081.3123803040287
1181,1081.3123803040287
1182,1081.3123803040287
1183,1081.3123803040287
1184,1081.3123803040287
1185,1081.3123803040287
1186,1081.3123803040287
1187,1081.3123803040287
1188,1081.3123803040287
1189,1081.3123803040287
1190,1081.3123803040287
1191,1081.3123803040287
1192,1081.3123803040287
1193,1081.3123803040287
1194,1081.3123803040287
1195,1081.3123803040287
1196,1081.3123803040287
1197,1081.3123803040287
1198,1081.3123803040287
1199,1081.3123803040287
1200,1081.3123803040287
1201,1081.3123803040287
1202,1081.3123803040287
1203,1081.3123803040287
1204,1081.3123803040287
1205,1081.3123803040287
1206,1081.3123803040287
1207,1081.3123803040287
1208,1081.3123803040287
1209,1081.3123803040287
1210,1081.3123803040287
1211,1081.3123803040287
1212,1081.3123803040287
1213,1081.3123803040287
1214,1081.3123803040287
1215,1081.3123803040287
1216,1081.3123803040287
1217,1081.3123803040287
1218,1081.3123803040287
1219,1081.3123803040287
1220,1081.3123803040287
1221,1081.3123803040287
1222,1081.3123803040287
1223,1081.3123803040287
1224,1081.3123803040287
1225,1081.3123803040287
1226,1081.3123803040287
1227,1081.3123803040287
1228,1081.3123803040287
1229,1081.3123803040287
1230,1081.3123803040287
1231,1081.3123803040287
1232,1081.3123803040287
1233,1081.3123803040287
1234,1081.3123803040287
1235,1081.3123803040287
1236,1081.3123803040287
1237,1081.3123803040287
1238,1081.3123803040287
1239,1081.3123803040287
1240,1081.3123803040287
1241,1081.3123803040287
1242,1081.3123803040287
1243,1081.3123803040287
1244,1081.3123803040287
1245,1081.3123803040287
1246,1081.3123803040287
1247,1081.3123803040287
1248,1081.3123803040287
1249,1081.3123803040287
1250,1081.3123803040287
1251,1081.3123803040287
1252,1081.3123803040287
1253,1081.3123803040287
1254,1081.3123803040287
1255,1081.3123803040287
1256,1081.3123803040287
1257,1081.3123803040287
1258,1081.3123803040287
1259,1081.3123803040287
1260,1081.3123803040287
1261,1081.3123803040287
1262,1081.3123803040287
1263,1081.3123803040287
1264,1081.3123803040287
1265,1081.3123803040287
1266,1081.3123803040287
1267,1081.3123803040287
1268,1081.3123803040287
1269,1081.3123803040287
1270,1081.3123803040287
1271,1081.3123803040287
1272,1081.3123803040287
1273,1081.3123803040287
1274,1081.3123803040287
1275,1081.3123803040287
1276,1081.3123803040287
1277,1081.3123803040287
1278,1081.3123803040287
1279,1081.3123803040287
1280,1081.3123803040287
1281,1081.3123803040287
1282,1081.3123803040287
1283,1081.3123803040287
1284,1081.3123803040287
1285,1081.3123803040287
1286,1081.3123803040287
1287,1081.3123803040287
1288,1081.3123803040287
1289,1081.3123803040287
1290,1081.3123803040287
1291,1081.3123803040287
1292,1081.3123803040287
1293,1081.3123803040287
1294,1081.3123803040287
1295,1081.3123803040287
1296,1081.3123803040287
